Name,Born,Country,Club Apps,Club Goals,Inter. Caps,Inter. Goals
Gerd Muller,1945,West Germany,555,487,62,68
Eusebio,1942,Portugal,436,424,64,41
Johan Cruyff,1947,Netherlands,518,294,48,33
George Best,1946,Northern Ireland,574,204,37,9
Bobby Charlton,1937,England,652,211,106,49
Pele,1940,Brazil,647,606,92,77
Ferenc Puskas,1927,Hungary,530,514,89,84
Diego Maradona,1960,Argentina,491,259,91,34
Alfredo Di Stefano,1926,Argentina,521,376,37,29
Michel Platini,1955,France,432,224,72,41
Franz Beckebauer,1945,West Germany,560,79,103,14
Ronaldo,1976,Brazil,384,280,98,62
Zinedine Zidane,1972,France,506,95,108,31
Luis Figo,1972,Portugal,570,93,127,32
Paolo Maldini,1968,Italy,647,29,126,7
Marco Van Basten,1964,Netherlands,281,219,58,24
